round,student,regime,target_job,target_skill,attempted,accepted,action,resource,alignment_effort,realized_gain,evidence_gain,weak_before,strong_after,gap_before,gap_after,seed
1,0,R0,2,44,False,False,generic,0.1699793572455467,0.0,0.0,0.0,False,True,0.0710910409456424,0.0710910409456424,1000
1,1,R0,7,22,False,False,generic,0.3548365598892034,0.0,0.0177243740464892,0.0095926960844045,True,False,0.6580251960763588,0.6580251960763588,1000
1,2,R0,7,24,False,False,generic,0.3930510846626555,0.0,0.0069892131832026,0.0057114271312094,False,False,0.4289509105270522,0.4289509105270522,1000
1,4,R0,2,60,False,False,generic,0.6134118115327748,0.0,0.0138877524387471,0.009661974812689,True,False,0.235018146670638,0.235018146670638,1000
1,6,R0,22,46,False,False,generic,0.5028888634148974,0.0,0.0199216124465131,0.0123156845541786,True,False,0.7451382807421485,0.7416546373416103,1000
1,7,R0,24,60,False,False,generic,0.6312534740606498,0.0,0.0101307987167342,0.0015588597515115,False,True,0.5601748801673158,0.5567832267550691,1000
1,9,R0,26,57,False,False,generic,0.639163019576467,0.0,0.0101950791158793,0.0034021148811213,True,False,0.6238183593136678,0.6238183593136678,1000
1,12,R0,16,34,False,False,generic,0.5916484970098604,0.0,0.008792352638128,0.0067308493888124,True,False,0.6348079514442782,0.6318787654059228,1000
1,13,R0,6,55,False,False,generic,0.609056347174334,1.0,0.0082586445458611,0.004349273206644,True,False,0.4833223725031345,0.4816558022328203,1000
1,14,R0,19,1,False,False,generic,0.3838271132819644,0.0,0.008426644458713,0.0049526981501264,False,False,0.3621431904013832,0.3604654015332482,1000
1,16,R0,9,39,False,False,generic,0.2141923350668483,0.0,0.0082459670116258,0.0060609108403235,True,False,0.1653813897088317,0.1653813897088317,1000
1,18,R0,29,9,False,False,generic,0.3029024291487582,0.0,0.0,0.0155288891068749,True,False,0.2334729422647153,0.2334729422647153,1000
1,19,R0,4,61,False,False,generic,0.4847936901999605,0.0,0.0240523272922661,0.0130531717047651,True,False,0.5091527805893614,0.5091527805893614,1000
1,20,R0,3,34,False,False,generic,0.5158908236541704,0.0,0.0167366847651937,0.0029316175269406,True,False,0.6525248932816002,0.6525248932816002,1000
1,21,R0,12,53,False,False,generic,0.3388395064578726,0.0,0.0054252096857203,0.0,True,False,0.7247597663693427,0.7247597663693427,1000
1,23,R0,19,72,False,False,generic,0.6520402381118959,0.0,0.0308682655989236,0.0077413337941866,True,False,0.3704113637202925,0.3704113637202925,1000
1,24,R0,29,30,False,False,generic,0.6410128073069619,0.0,0.0,0.001562921669653,True,False,0.6183844419186961,0.6183844419186961,1000
1,25,R0,18,30,False,False,generic,0.6163885919420735,0.0,0.0180910401611322,0.0104035895840944,False,False,0.5599241506665616,0.5599241506665616,1000
1,26,R0,12,20,False,False,generic,0.3987731132953505,0.0,0.0253478185110633,0.006008172089288,True,False,0.3452036033998611,0.3452036033998611,1000
1,27,R0,15,26,False,False,generic,0.6965250411809991,0.0,0.0,0.0004192915877915,True,False,0.7445110925398433,0.7445110925398433,1000
1,28,R0,9,28,False,False,generic,0.2595541385655563,0.0,0.0072753791476418,0.0078293046937539,True,False,0.6911935871293406,0.6889914085516504,1000
1,29,R0,17,55,False,False,generic,0.5835998811123412,0.0,0.0091986965307499,0.0,True,False,0.4842893351426658,0.4842893351426658,1000
1,30,R0,5,36,False,False,generic,0.1871888695093915,0.0,0.0120613870293218,0.0028423409562419,True,False,0.7462822148029216,0.7462822148029216,1000
1,31,R0,8,55,False,False,generic,0.5745710942557171,0.0,0.0111191448573099,0.0035768724267045,True,False,0.7826272143564577,0.7826272143564577,1000
1,32,R0,25,69,False,False,generic,0.1961061308709639,0.0,0.0091563485890525,0.0102396693126282,True,False,0.4345969103537859,0.4345969103537859,1000
1,33,R0,7,0,False,False,generic,0.4047728848197262,0.0,0.0,0.0009976015950395,True,False,0.6956008622949554,0.6956008622949554,1000
1,35,R0,29,25,False,False,generic,0.2168207471850339,0.0,0.0106088340743659,0.0023505048863238,False,True,0.2860219567955263,0.2860219567955263,1000
1,36,R0,3,44,False,False,generic,0.5631906584896628,0.0,0.001724898865424,0.0118372257070529,True,False,0.3639207601026081,0.3639207601026081,1000
1,37,R0,8,34,False,False,generic,0.8350498148902974,1.0,0.0035734548366551,0.023443936279876,True,False,0.7718204478025619,0.770805845726771,1000
1,39,R0,23,1,False,False,generic,0.6417251707603758,0.0,0.0,0.0,True,False,0.503952799125642,0.503952799125642,1000
1,40,R0,10,72,False,False,generic,0.3939287408052683,0.0,0.0068790801907013,0.0,True,False,0.728960679716694,0.728960679716694,1000
1,41,R0,15,67,False,False,generic,0.673366362009418,0.0,0.0048636970973774,0.0,True,False,0.4517226580252977,0.4517226580252977,1000
1,42,R0,10,31,False,False,generic,0.2644600892592694,0.0,0.0212300341148523,0.014658472650936,False,False,0.7350324383176076,0.7309226938703053,1000
1,43,R0,26,66,False,False,generic,0.8479972063218032,0.0,0.0,0.0,True,False,0.6127515293910202,0.6127515293910202,1000
1,44,R0,6,70,False,False,generic,0.827578425766108,0.0,0.0200113733810645,0.0146620220003876,True,False,0.3816794795243213,0.3816794795243213,1000
1,45,R0,14,59,False,False,generic,0.216256337225752,1.0,0.0122453470605837,0.0017725053725593,True,False,0.3240508974572332,0.3213574524635408,1000
1,46,R0,17,20,False,False,generic,0.6823983044460152,0.0,0.0237850218267832,0.0074840752423741,True,False,0.7404454528652737,0.7404454528652737,1000
1,47,R0,25,40,False,False,generic,0.0817054444865895,0.0,0.0121239800202422,0.0093609330806067,True,False,0.3423675475650285,0.3423675475650285,1000
1,48,R0,13,4,False,False,generic,0.0796012597124736,0.0,0.0095278397792625,0.0024673186950408,True,False,0.5235474807015336,0.520372289962619,1000
1,49,R0,26,16,False,False,generic,0.3070608039519021,0.0,0.0258980514837022,0.0020537239600521,True,False,0.3872484703154699,0.3872484703154699,1000
