contrast,metric,n,mean_diff,sd_diff,ci_low,ci_high,cohen_dz,p_value,mcse
R1-R0,placement_rate,40,-0.04229166666666666,0.024560778440571404,-0.050146584684544505,-0.03443674864878881,-1.7219188214656094,2.1644345551948343e-13,0.0038834000489482057
R1-R0,ground_truth_fit,40,0.029286179528137744,0.014155228729261227,0.02475911775516939,0.0338132413011061,2.0689301521209833,7.576413401038096e-16,0.0022381381792558205
R1-R0,search_rounds,40,0.20155110879670515,0.18959481862912533,0.14091574414205163,0.26218647345135865,1.0630623255109521,5.149262578948973e-08,0.029977572971727935
R1-R0,applications_per_hire,40,0.6059318184999924,0.5684485272808909,0.4241331597164838,0.7877304772835011,1.0659396399501615,4.860030564402748e-08,0.08987960393879883
R1-R0,fill_rate,40,-0.0845833333333333,0.04912155688114281,-0.100293169369089,-0.06887349729757761,-1.721918821465609,2.1644345551948528e-13,0.007766800097896411
R1-R0,vacancy_duration,40,0.7308333333333333,0.3403021533219494,0.6219994247453358,0.8396672419213309,2.147601260230388,2.282289864316879e-16,0.05380649485785976
R1-R0,credential_sensitivity,40,-0.010996260367817054,0.00837730080666902,-0.013675451143740858,-0.00831706959189325,-1.312625703861932,3.7627769792582053e-10,0.0013245675596719993
R1-R0,investment_alignment,40,-0.0013366079559142708,0.013611397272254076,-0.005689743991118639,0.003016528079290098,-0.09819770367285192,0.5381753987304804,0.002152150875886294
R1-R0,total_gap_reduction,40,0.00029695070496581005,0.000417709222694847,0.0001633608145835258,0.00043054059534809426,0.7109029172256133,6.050040929732923e-05,6.604562716871065e-05
R1-R0,evidence_conversion,40,0.0,0.0,,,,,0.0
R1-R0,evidence_opportunity_gap,40,0.065,0.10727125666795605,0.030692987751168202,0.0993070122488318,0.6059405102449661,0.0004505563669100982,0.016961074926963284
R2-R1,placement_rate,40,-0.00020833333333333953,0.024640398059370225,-0.00808871494064068,0.0076720482739740005,-0.008454949990311328,0.9576273884585791,0.0038959890160401374
R2-R1,ground_truth_fit,40,0.0036015291474593204,0.013471838535240218,-0.0007069738383254256,0.007910032133244066,0.2673376123116592,0.0988548808909077,0.002130084702069282
R2-R1,search_rounds,40,-0.00888828941731088,0.19897554673956427,-0.072523756468303,0.05474717763368125,-0.0446702600543403,0.7790392012125894,0.031460796318715664
R2-R1,applications_per_hire,40,-0.026664868251932594,0.5969266402186928,-0.21757126940490898,0.1642415329010438,-0.04467026005434023,0.7790392012125896,0.09438238895614699
R2-R1,fill_rate,40,-0.00041666666666666794,0.04928079611874047,-0.016177429881281354,0.015344096547948017,-0.008454949990311099,0.9576273884585803,0.007791978032080277
R2-R1,vacancy_duration,40,0.06916666666666668,0.31053556347435657,-0.030147424644757767,0.16848075797809114,0.2227334798398327,0.16684989733042013,0.04909998375313787
R2-R1,credential_sensitivity,40,-0.016832970918115753,0.007295315381799549,-0.01916612596762914,-0.014499815868602366,-2.3073671304342613,2.1781693019927148e-17,0.001153490642787373
R2-R1,investment_alignment,40,0.2691948397001632,0.01937560945622094,0.2629982191739331,0.2753914602263933,13.893490179413822,1.8964584422311707e-46,0.003063552846777734
R2-R1,total_gap_reduction,40,0.007668736724649546,0.0008635855547103541,0.007392548665297646,0.007944924784001446,8.880112321033014,6.300342565067458e-39,0.00013654486536523352
R2-R1,evidence_conversion,40,0.0,0.0,,,,,0.0
R2-R1,evidence_opportunity_gap,40,-0.023333333333333324,0.08711913446392582,-0.05119538423120761,0.004528717564540964,-0.26783247419652867,0.0982535217967646,0.013774744634423887
R3-R2,placement_rate,40,0.001249999999999997,0.02442719865617083,-0.006562197130270353,0.009062197130270348,0.05117246629851354,0.7479374553201588,0.0038622792305452033
R3-R2,ground_truth_fit,40,0.0006195021236335502,0.013277690480674956,-0.003626909301998466,0.0048659135492655665,0.04665737046176863,0.7694925839093033,0.002099387199283438
