seed,regime,placement_rate,ground_truth_fit,search_rounds,applications_per_hire,fill_rate,vacancy_duration,credential_sensitivity,investment_alignment,mean_step_gap_reduction,total_gap_reduction,evidence_conversion,task_acceptance,realized_gain,evidence_opportunity_gap,resource_q1_placement,resource_q4_placement,scenario
1000,R0,0.475,0.6182106300929859,1.9473684210526316,5.842105263157895,0.95,2.033333333333333,0.16045512466989897,0.07175925925925926,0.0009344860551661414,0.003364149798598109,0.0,0.0,0.009995061325978341,-0.26666666666666666,0.6333333333333333,0.36666666666666664,E0_L0_C0
1000,R1,0.4583333333333333,0.6424768179388121,1.8363636363636364,5.509090909090909,0.9166666666666666,2.3,0.14694497346797622,0.08486238532110092,0.0008832518174338829,0.0032091482700097743,0.0,0.0,0.01041381751329124,0.0,0.43333333333333335,0.43333333333333335,E0_L0_C0
1001,R0,0.4583333333333333,0.575149114145909,2.1636363636363636,6.490909090909091,0.9166666666666666,2.433333333333333,0.18063567137885247,0.10792951541850221,0.0008887829082196388,0.0033625620027643,0.0,0.0,0.011263481492492048,0.1333333333333333,0.4,0.5333333333333333,E0_L0_C0
1001,R1,0.45,0.5937205031147561,2.2962962962962963,6.888888888888889,0.9,2.8666666666666667,0.1552456241892162,0.05793991416309013,0.0008250881289030023,0.0032040922339066588,0.0,0.0,0.010330657068301531,-0.033333333333333326,0.5,0.4666666666666667,E0_L0_C0
1002,R0,0.45,0.5920800336986535,1.962962962962963,5.888888888888889,0.9,2.466666666666667,0.14177850528849914,0.08482142857142858,0.0009209508723571726,0.0034382165901334443,0.0,0.0,0.010466058929497035,-0.10000000000000003,0.4,0.3,E0_L0_C0
1002,R1,0.4083333333333333,0.6141034426230505,2.163265306122449,6.489795918367347,0.8166666666666667,2.9,0.13032475929684448,0.09316770186335403,0.000938843049023599,0.0037788432723199856,0.0,0.0,0.010677648086999445,-0.3,0.5,0.2,E0_L0_C0
1003,R0,0.475,0.5799971282598272,1.9824561403508771,5.947368421052632,0.95,2.2,0.19921794797112882,0.08525345622119816,0.000954543187655734,0.0034522645286882377,0.0,0.0,0.010508051523692987,0.033333333333333326,0.43333333333333335,0.4666666666666667,E0_L0_C0
1003,R1,0.39166666666666666,0.6374333315913501,2.2127659574468086,6.638297872340425,0.7833333333333333,3.3666666666666667,0.18276207578661777,0.08484848484848485,0.0008905742380782042,0.0036736187320725922,0.0,0.0,0.010614358147969986,-0.033333333333333326,0.36666666666666664,0.3333333333333333,E0_L0_C0
1004,R0,0.475,0.59311140777446,1.8245614035087718,5.473684210526316,0.95,2.033333333333333,0.19267600009824234,0.06823529411764706,0.0010014382406137367,0.0035467604355069837,0.0,0.0,0.010924185691762251,-0.23333333333333328,0.7,0.4666666666666667,E0_L0_C0
1004,R1,0.425,0.6183777547345862,1.9411764705882353,5.823529411764706,0.85,2.7333333333333334,0.17288538955027807,0.0670995670995671,0.0008624045948697467,0.0033202576902485246,0.0,0.0,0.010814176478712538,-0.2,0.5666666666666667,0.36666666666666664,E0_L0_C0
