round,student,regime,target_job,target_skill,attempted,accepted,completed,action,resource,quality,alignment_effort,realized_gain,evidence_gain,weak_before,strong_after,gap_before,gap_after,seed,condition
1,0,R3,2,69,True,False,False,LSM task,0.1699793572455467,0.2891977120428829,0.0,0.0,0.0,True,False,0.0710910409456424,0.0710910409456424,1000,R3
1,1,R3,7,72,True,True,False,LSM task,0.35483655988920343,0.5051163718888179,0.82,0.044666439951053065,0.07882732663503725,True,False,0.6580251960763588,0.6492866568251399,1000,R3
1,2,R3,7,37,True,False,False,LSM task,0.39305108466265554,0.3678026247743666,0.0,0.008267836842948448,0.008661412037699698,True,False,0.4289509105270522,0.4289509105270522,1000,R3
1,4,R3,2,48,True,True,True,LSM task,0.6134118115327748,0.550990417024794,0.82,0.06620439868586776,0.09437458451029487,True,True,0.23501814667063803,0.2167427663716045,1000,R3
1,6,R3,22,42,True,True,False,LSM task,0.5028888634148974,0.4555025358237758,0.82,0.04140463304951096,0.0684601902387039,True,False,0.7451382807421485,0.7378979543347406,1000,R3
1,7,R3,24,9,True,False,False,LSM task,0.6312534740606498,0.330415971994268,0.0,0.008811921469824523,0.0,True,False,0.5601748801673158,0.5601748801673158,1000,R3
1,8,R3,12,12,True,False,False,LSM refused; self-study,0.28158138037165514,0.18118963283653472,0.0,0.0,0.0,True,False,0.19604159973507165,0.19604159973507165,1000,R3
1,9,R3,26,38,True,False,False,LSM task,0.639163019576467,0.4850061365985447,0.0,0.008579097520089195,0.011848169026278629,True,False,0.6238183593136678,0.6238183593136678,1000,R3
1,12,R3,16,62,True,False,False,LSM task,0.5916484970098604,0.0675474272437235,0.0,0.0,0.0,True,False,0.6348079514442782,0.6348079514442782,1000,R3
1,13,R3,6,9,True,False,False,LSM task,0.609056347174334,0.28747706968785014,0.0,0.013771526561803114,0.013725000389560139,True,False,0.48332237250313453,0.48332237250313453,1000,R3
1,14,R3,19,14,True,False,False,LSM task,0.38382711328196445,0.34557341978185424,0.0,0.008698954913938914,0.0010825544614369758,True,False,0.3621431904013832,0.3621431904013832,1000,R3
1,19,R3,4,36,True,False,False,LSM task,0.48479369019996055,0.6445328766175425,0.0,0.030067642169654768,0.017889310574724357,True,False,0.5091527805893614,0.5091527805893614,1000,R3
1,20,R3,3,61,True,False,False,LSM task,0.5158908236541704,0.10969038039323215,0.0,0.017539797029882884,0.0,True,False,0.6525248932816002,0.6525248932816002,1000,R3
1,21,R3,12,23,True,False,False,LSM task,0.3388395064578726,0.052403265803276755,0.0,0.005895193220524929,0.0,True,False,0.7247597663693427,0.7247597663693427,1000,R3
1,23,R3,19,31,True,False,False,LSM refused; self-study,0.6520402381118959,0.16772919189924906,0.0,0.0,0.0,True,False,0.3704113637202925,0.3704113637202925,1000,R3
1,24,R3,29,70,True,False,False,LSM task,0.6410128073069619,0.6354787876403815,0.0,0.021128213396782412,0.016247892320951324,True,False,0.6183844419186961,0.6183844419186961,1000,R3
1,25,R3,18,62,True,False,False,LSM task,0.6163885919420735,0.5452026808409043,0.0,0.011407558905688807,0.004286324807090478,True,False,0.5599241506665616,0.5599241506665616,1000,R3
1,26,R3,12,36,True,True,False,LSM task,0.3987731132953505,0.4033640472410084,0.82,0.05922881366742531,0.06854536613395248,True,False,0.34520360339986117,0.3281754380969036,1000,R3
1,27,R3,15,54,True,False,False,LSM refused; self-study,0.6965250411809991,0.1907749192693951,0.65,0.01060591171929805,0.0,True,False,0.7445110925398433,0.7427998128609938,1000,R3
1,28,R3,9,16,True,True,True,LSM task,0.2595541385655563,0.6045930908289319,0.82,0.06935150466098117,0.10028134281526879,True,True,0.6911935871293406,0.6702016367724307,1000,R3
1,29,R3,17,44,True,True,False,LSM task,0.5835998811123412,0.29827632178307767,0.82,0.03852854234719625,0.04799734904372598,True,False,0.4842893351426658,0.47790339760118966,1000,R3
1,30,R3,5,17,True,False,False,LSM task,0.18718886950939154,0.47238738844043493,0.0,0.0097672098539426,0.00019710588906860123,True,False,0.7462822148029216,0.7462822148029216,1000,R3
1,31,R3,8,44,True,False,False,LSM task,0.5745710942557171,0.18057296790820318,0.0,0.005938861642783256,0.010091442554741372,True,False,0.7826272143564577,0.7826272143564577,1000,R3
1,32,R3,25,63,True,False,False,LSM task,0.19610613087096393,0.16002136086755442,0.0,0.004258295980578974,0.0019204875451519254,True,False,0.4345969103537859,0.4345969103537859,1000,R3
1,33,R3,7,52,True,False,False,LSM task,0.4047728848197262,0.3915181875141466,0.0,0.008279861853943887,0.005230108575558926,True,False,0.6956008622949554,0.6956008622949554,1000,R3
1,34,R3,18,5,True,True,False,LSM task,0.439063597888557,0.3450081427162913,0.82,0.03734383890909884,0.06727498574526786,True,False,0.2301103947615209,0.21694410507768214,1000,R3
1,35,R3,29,51,True,False,False,LSM task,0.21682074718503397,0.41080514998485346,0.0,0.0067209431048381105,0.0,True,False,0.2860219567955263,0.2860219567955263,1000,R3
1,37,R3,8,34,True,False,False,LSM refused; self-study,0.8350498148902974,0.5847643805788533,0.65,0.02730210475517948,0.01626124499324861,True,False,0.7718204478025619,0.7640686296253966,1000,R3
1,38,R3,8,34,True,True,False,LSM task,0.5041892696054868,0.4556900987061595,0.82,0.0626277730425539,0.07784454023906148,True,False,0.33583728010163283,0.31805553346268345,1000,R3
1,39,R3,23,41,True,True,False,LSM task,0.6417251707603758,0.470133015980373,0.0,0.045726110605478654,0.0771756596541009,True,False,0.503952799125642,0.49256919224996093,1000,R3
1,40,R3,10,31,True,False,False,LSM refused; self-study,0.39392874080526835,0.3692088709061809,0.65,0.009249258363252006,0.0013017052373302503,True,False,0.728960679716694,0.7271701932768513,1000,R3
1,42,R3,10,58,True,False,False,LSM refused; self-study,0.26446008925926945,0.3858084876880407,0.65,0.015662338611260457,0.0,True,False,0.7350324383176076,0.7320004973988521,1000,R3
1,43,R3,26,52,True,False,False,LSM refused; self-study,0.8479972063218032,0.07164574633227215,0.65,0.0017541061377807858,0.0,True,False,0.6127515293910202,0.6122366819687061,1000,R3
1,44,R3,6,48,True,False,False,LSM refused; self-study,0.827578425766108,0.35761362448237005,0.65,0.024567029566800482,0.009140521221818137,True,False,0.3816794795243213,0.3767219249427429,1000,R3
1,45,R3,14,59,True,True,False,LSM task,0.21625633722575205,0.14855510881368825,0.82,0.01912311010973569,0.02040538326790336,True,False,0.3240508974572332,0.3198446430379778,1000,R3
1,46,R3,17,40,True,True,True,LSM task,0.6823983044460152,0.6278173802964903,0.82,0.06758207173781751,0.10395625454186866,True,True,0.7404454528652737,0.7292440197782868,1000,R3
1,47,R3,25,13,True,True,True,LSM task,0.0817054444865895,0.5650572134926541,0.82,0.0648294145993287,0.08023514283624028,True,True,0.3423675475650285,0.3225217547075765,1000,R3
1,48,R3,13,4,True,False,False,LSM refused; self-study,0.07960125971247363,0.7309102573578756,0.0,0.010775965519864292,0.0032120180565294648,True,False,0.5235474807015336,0.5199563470642943,1000,R3
1,49,R3,26,10,True,True,False,LSM task,0.30706080395190216,0.5090301534386095,0.82,0.06071247485820465,0.09356707315973369,True,False,0.3872484703154699,0.3694287611714121,1000,R3
1,50,R3,15,70,True,False,False,LSM refused; self-study,0.5279467824839226,0.20904821828199494,0.65,0.0,0.009002210078187925,True,False,0.45185600231538214,0.45185600231538214,1000,R3
1,51,R3,6,63,True,False,False,LSM refused; self-study,0.13170819528277966,0.10022960492546583,0.65,0.006265886701522656,0.011451640206343741,True,False,0.560886980817343,0.5596225432409433,1000,R3
1,52,R3,28,45,True,False,False,LSM task,0.34215722407136073,0.30308685403099295,0.0,0.011172634966675171,0.003971575805951643,True,False,0.8046478897673713,0.8046478897673713,1000,R3
1,53,R3,23,35,True,False,False,LSM task,0.6036159631441683,0.2260483189644321,0.0,0.0,0.00898627700126568,True,False,0.5342674087380719,0.5342674087380719,1000,R3
1,56,R3,24,62,True,False,False,LSM refused; self-study,0.4709597905156488,0.11429918670606658,0.65,0.0004559039896558218,0.0029755599903494062,True,False,0.29820549653575223,0.29805286609017656,1000,R3
1,57,R3,5,20,True,True,False,LSM task,0.8090537492155264,0.38877265577716075,0.82,0.046150636618563896,0.057216451394463415,True,False,0.5005931780431416,0.4866774325590617,1000,R3
1,58,R3,21,69,True,False,False,LSM task,0.30480543651655617,0.6840649641876028,0.0,0.020153760001369734,0.011441916940927185,True,False,0.44077366569535825,0.44077366569535825,1000,R3
